species,n_test_positives,baseline_auc_mean,baseline_auc_ci,rf_auc_mean,rf_auc_ci,baseline_brier_mean,baseline_brier_ci,rf_brier_mean,rf_brier_ci
Osprey,1370,0.7757,"[0.7632, 0.7877]",0.9097,"[0.9049, 0.9144]",0.0175,"[0.0167, 0.0184]",0.0167,"[0.0159, 0.0174]"
Common Cuckoo,1700,0.8298,"[0.8195, 0.8396]",0.9405,"[0.9370, 0.9439]",0.0231,"[0.0223, 0.0239]",0.0184,"[0.0177, 0.0191]"
Barn Swallow,11237,0.7458,"[0.7416, 0.7503]",0.8114,"[0.8079, 0.8149]",0.1267,"[0.1252, 0.1283]",0.1046,"[0.1033, 0.1059]"
Arctic Tern,1561,0.8429,"[0.8305, 0.8539]",0.919,"[0.9134, 0.9243]",0.0188,"[0.0181, 0.0195]",0.0174,"[0.0166, 0.0182]"
Atlantic Puffin,1263,0.8303,"[0.8177, 0.8423]",0.9156,"[0.9085, 0.9227]",0.0236,"[0.0227, 0.0246]",0.0149,"[0.0142, 0.0156]"
Crested Tit,1718,0.8692,"[0.8597, 0.8788]",0.9765,"[0.9752, 0.9779]",0.0207,"[0.0197, 0.0217]",0.0187,"[0.0179, 0.0196]"
Rock Ptarmigan,63,0.4984,"[0.4982, 0.4986]",0.9841,"[0.9701, 0.9949]",0.001,"[0.0008, 0.0012]",0.0006,"[0.0005, 0.0007]"
Red Kite,775,0.7555,"[0.7360, 0.7763]",0.9477,"[0.9420, 0.9529]",0.0137,"[0.0131, 0.0143]",0.0088,"[0.0083, 0.0094]"
White-tailed Eagle,250,0.802,"[0.7729, 0.8311]",0.9583,"[0.9525, 0.9641]",0.0034,"[0.0030, 0.0037]",0.0032,"[0.0028, 0.0035]"
Red Grouse,429,0.6055,"[0.5763, 0.6327]",0.9062,"[0.8977, 0.9150]",0.0342,"[0.0333, 0.0351]",0.007,"[0.0066, 0.0074]"
Willow Warbler,8337,0.7797,"[0.7751, 0.7851]",0.875,"[0.8718, 0.8782]",0.088,"[0.0866, 0.0894]",0.0753,"[0.0741, 0.0765]"
Black Guillemot,3498,0.6311,"[0.6221, 0.6404]",0.8198,"[0.8146, 0.8250]",0.0453,"[0.0441, 0.0465]",0.0416,"[0.0403, 0.0429]"
Eurasian Curlew,15365,0.6388,"[0.6342, 0.6434]",0.8034,"[0.7999, 0.8070]",0.1678,"[0.1657, 0.1699]",0.1306,"[0.1290, 0.1323]"
White-throated Dipper,1840,0.6278,"[0.6139, 0.6407]",0.7686,"[0.7593, 0.7772]",0.0244,"[0.0234, 0.0254]",0.0238,"[0.0229, 0.0248]"
Common Kingfisher,1201,0.7046,"[0.6894, 0.7197]",0.8083,"[0.7979, 0.8181]",0.0153,"[0.0144, 0.0161]",0.015,"[0.0142, 0.0159]"
Long-tailed Tit,7481,0.6965,"[0.6902, 0.7029]",0.8182,"[0.8137, 0.8226]",0.085,"[0.0835, 0.0867]",0.0753,"[0.0740, 0.0767]"
European Golden-Plover,1572,0.6655,"[0.6506, 0.6810]",0.8258,"[0.8155, 0.8354]",0.0202,"[0.0194, 0.0211]",0.0188,"[0.0179, 0.0197]"
Short-eared Owl,161,0.5332,"[0.4895, 0.5777]",0.7641,"[0.7237, 0.8039]",0.0023,"[0.0020, 0.0026]",0.0021,"[0.0018, 0.0024]"
Common Wood-Pigeon,33030,0.6889,"[0.6851, 0.6926]",0.8041,"[0.8011, 0.8072]",0.2224,"[0.2209, 0.2238]",0.1798,"[0.1786, 0.1810]"
Manx Shearwater,1635,0.6714,"[0.6588, 0.6851]",0.8501,"[0.8422, 0.8577]",0.021,"[0.0201, 0.0218]",0.02,"[0.0190, 0.0210]"
Snow Bunting,177,0.5749,"[0.5368, 0.6147]",0.8528,"[0.8252, 0.8789]",0.0024,"[0.0020, 0.0027]",0.0022,"[0.0019, 0.0025]"
Northern Gannet,9009,0.8051,"[0.8007, 0.8094]",0.8609,"[0.8578, 0.8639]",0.0999,"[0.0982, 0.1017]",0.0883,"[0.0867, 0.0900]"
