species,n_test_positives,baseline_auc_mean,baseline_auc_ci,rf_auc_mean,rf_auc_ci,baseline_brier_mean,baseline_brier_ci,rf_brier_mean,rf_brier_ci
Osprey,1370,0.7757,"[0.7632, 0.7877]",0.8909,"[0.8846, 0.8965]",0.0175,"[0.0167, 0.0184]",0.0166,"[0.0158, 0.0173]"
Common Cuckoo,1700,0.8298,"[0.8195, 0.8396]",0.9273,"[0.9224, 0.9317]",0.0231,"[0.0223, 0.0239]",0.0187,"[0.0179, 0.0194]"
Barn Swallow,11237,0.7458,"[0.7416, 0.7503]",0.8013,"[0.7975, 0.8050]",0.1267,"[0.1252, 0.1283]",0.1067,"[0.1054, 0.1080]"
Arctic Tern,1561,0.8429,"[0.8305, 0.8539]",0.8987,"[0.8906, 0.9066]",0.0188,"[0.0181, 0.0195]",0.0173,"[0.0165, 0.0181]"
Atlantic Puffin,1263,0.8303,"[0.8177, 0.8423]",0.8993,"[0.8901, 0.9084]",0.0236,"[0.0227, 0.0246]",0.0151,"[0.0145, 0.0159]"
Crested Tit,1718,0.8692,"[0.8597, 0.8788]",0.9735,"[0.9719, 0.9750]",0.0207,"[0.0197, 0.0217]",0.0176,"[0.0168, 0.0184]"
Rock Ptarmigan,63,0.4984,"[0.4982, 0.4986]",0.9836,"[0.9711, 0.9926]",0.001,"[0.0008, 0.0012]",0.0008,"[0.0007, 0.0010]"
Red Kite,775,0.7555,"[0.7360, 0.7763]",0.9375,"[0.9313, 0.9434]",0.0137,"[0.0131, 0.0143]",0.0091,"[0.0085, 0.0096]"
White-tailed Eagle,250,0.802,"[0.7729, 0.8311]",0.9566,"[0.9502, 0.9629]",0.0034,"[0.0030, 0.0037]",0.0031,"[0.0028, 0.0035]"
Red Grouse,429,0.6055,"[0.5763, 0.6327]",0.8425,"[0.8256, 0.8605]",0.0342,"[0.0333, 0.0351]",0.011,"[0.0105, 0.0114]"
Willow Warbler,8337,0.7797,"[0.7751, 0.7851]",0.8585,"[0.8551, 0.8617]",0.088,"[0.0866, 0.0894]",0.0792,"[0.0780, 0.0804]"
Black Guillemot,3498,0.6311,"[0.6221, 0.6404]",0.7716,"[0.7624, 0.7805]",0.0453,"[0.0441, 0.0465]",0.0418,"[0.0405, 0.0431]"
Eurasian Curlew,15365,0.6388,"[0.6342, 0.6434]",0.7639,"[0.7596, 0.7681]",0.1678,"[0.1657, 0.1699]",0.1397,"[0.1379, 0.1414]"
White-throated Dipper,1840,0.6278,"[0.6139, 0.6407]",0.7638,"[0.7544, 0.7725]",0.0244,"[0.0234, 0.0254]",0.0235,"[0.0226, 0.0245]"
Common Kingfisher,1201,0.7046,"[0.6894, 0.7197]",0.7958,"[0.7845, 0.8073]",0.0153,"[0.0144, 0.0161]",0.015,"[0.0142, 0.0158]"
Long-tailed Tit,7481,0.6965,"[0.6902, 0.7029]",0.8119,"[0.8073, 0.8165]",0.085,"[0.0835, 0.0867]",0.0756,"[0.0742, 0.0770]"
European Golden-Plover,1572,0.6655,"[0.6506, 0.6810]",0.7787,"[0.7647, 0.7913]",0.0202,"[0.0194, 0.0211]",0.019,"[0.0181, 0.0199]"
Short-eared Owl,161,0.5332,"[0.4895, 0.5777]",0.7165,"[0.6635, 0.7654]",0.0023,"[0.0020, 0.0026]",0.0021,"[0.0018, 0.0024]"
Common Wood-Pigeon,33030,0.6889,"[0.6851, 0.6926]",0.7967,"[0.7937, 0.7999]",0.2224,"[0.2209, 0.2238]",0.1819,"[0.1806, 0.1832]"
Manx Shearwater,1635,0.6714,"[0.6588, 0.6851]",0.7768,"[0.7643, 0.7891]",0.021,"[0.0201, 0.0218]",0.0193,"[0.0184, 0.0203]"
Snow Bunting,177,0.5749,"[0.5368, 0.6147]",0.8107,"[0.7757, 0.8449]",0.0024,"[0.0020, 0.0027]",0.0023,"[0.0020, 0.0026]"
Northern Gannet,9009,0.8051,"[0.8007, 0.8094]",0.8526,"[0.8493, 0.8558]",0.0999,"[0.0982, 0.1017]",0.0899,"[0.0883, 0.0917]"
