period,season,speccode,grid,island,resolution,n_tenkms,status,long,lat,english_name,app_species_name,matched_likelihood
2008-11,B,18,NF09,B,10,1,Confirmed,-8.647918773255473,57.76982325631795,Manx Shearwater,Manx Shearwater,0.0641
2008-11,B,18,NG20,B,10,1,Confirmed,-6.5368760728436826,57.053697341389224,Manx Shearwater,Manx Shearwater,0.2274
2008-11,B,18,NF19,B,10,1,Probable,-8.480905271880518,57.778510189684575,Manx Shearwater,Manx Shearwater,0.0641
2008-11,B,18,NG40,B,10,1,Possible,-6.208090312484085,57.06519351599773,Manx Shearwater,Manx Shearwater,0.2332
2008-11,B,18,HY20,B,10,1,Probable,-3.3043705549694478,58.92564944680998,Manx Shearwater,Manx Shearwater,0.0049
2008-11,B,18,NM48,B,10,1,Confirmed,-6.187895846420175,56.8860109563388,Manx Shearwater,Manx Shearwater,0.2776
2008-11,B,18,NM39,B,10,1,Confirmed,-6.361994686874017,56.969982200811344,Manx Shearwater,Manx Shearwater,0.288
2008-11,B,18,NM24,B,10,1,Confirmed,-6.4723464298132996,56.51635205857797,Manx Shearwater,Manx Shearwater,0.2679
2008-11,B,18,NM47,B,10,1,Possible,-6.177886264135022,56.79641600885702,Manx Shearwater,Manx Shearwater,0.2776
2008-11,B,18,NR70,B,10,1,Confirmed,-5.5449727952097,55.28754591656247,Manx Shearwater,Manx Shearwater,0.2147
2008-11,B,18,HU58,B,10,1,Probable,-0.9992465870748184,60.5447635725395,Manx Shearwater,Manx Shearwater,0.001
2008-11,B,18,NM61,B,10,1,Possible,-5.7969245593114795,56.2691103643691,Manx Shearwater,Manx Shearwater,0.0788
2008-11,B,18,NM49,B,10,1,Confirmed,-6.197963706237455,56.975603461249,Manx Shearwater,Manx Shearwater,0.288
2008-11,B,18,NS00,B,10,1,Probable,-5.073333817528075,55.300339124855576,Manx Shearwater,Manx Shearwater,0.2183
2008-11,B,18,IJ58,I,10,1,Confirmed,-5.59705279056216,54.68916331519692,Manx Shearwater,Manx Shearwater,0.2088
2008-11,B,18,NX09,B,10,1,Possible,-5.066410177796355,55.21061052375008,Manx Shearwater,Manx Shearwater,0.2183
2008-11,B,18,NT69,B,10,1,Confirmed,-2.5648909704169,56.14637839546545,Manx Shearwater,Manx Shearwater,0.0405
2008-11,B,18,IC46,I,10,1,Possible,-7.289999269344317,55.42951984195618,Manx Shearwater,Manx Shearwater,0.1771
2008-11,B,25,HP51,B,10,1,Confirmed,-0.9908513443514952,60.814064037192324,Gannet,Northern Gannet,0.497
2008-11,B,25,HP61,B,10,1,Confirmed,-0.807076952628754,60.81255826364268,Gannet,Northern Gannet,0.5568
2008-11,B,25,NF19,B,10,1,Confirmed,-8.480905271880518,57.778510189684575,Gannet,Northern Gannet,0.4627
2008-11,B,25,NA64,B,10,1,Confirmed,-7.7155771670715625,58.2655292301432,Gannet,Northern Gannet,0.4651
2008-11,B,25,NA10,B,10,1,Confirmed,-8.497008816546435,57.8677547018277,Gannet,Northern Gannet,0.4496
2008-11,B,25,HZ27,B,10,1,Confirmed,-1.5594312665502374,59.560089306014675,Gannet,Northern Gannet,0.6172
2008-11,B,25,HZ17,B,10,1,Confirmed,-1.7363635571789076,59.56056472314462,Gannet,Northern Gannet,0.6172
2008-11,B,25,HT93,B,10,1,Confirmed,-2.091711576169695,60.09955083599718,Gannet,Northern Gannet,0.4144
2008-11,B,25,HY35,B,10,1,Confirmed,-3.14563776541108,59.3762034428696,Gannet,Northern Gannet,0.4907
2008-11,B,25,HY60,B,10,1,Possible,-2.60970143529755,58.93078997241042,Gannet,Northern Gannet,0.5293
2008-11,B,25,HU53,B,10,1,Confirmed,-1.0128846396223266,60.0959036278536,Gannet,Northern Gannet,0.5128
2008-11,B,25,HY34,B,10,1,Confirmed,-3.1426187373530574,59.28642227950755,Gannet,Northern Gannet,0.4839
2008-11,B,25,HU54,B,10,1,Confirmed,-1.0101916908993165,60.18567820813828,Gannet,Northern Gannet,0.5045
2008-11,B,25,NX23,B,10,1,Confirmed,-4.71590825246179,54.679544048202324,Gannet,Northern Gannet,0.4533
2008-11,B,25,HX62,B,10,1,Confirmed,-4.357941811278427,59.09040614607998,Gannet,Northern Gannet,0.3234
2008-11,B,25,NJ86,B,10,1,Confirmed,-2.25314616681257,57.6745850967839,Gannet,Northern Gannet,0.1425
2008-11,B,25,NX09,B,10,1,Confirmed,-5.066410177796355,55.21061052375008,Gannet,Northern Gannet,0.5466
2008-11,B,25,HW63,B,10,1,Confirmed,-6.109921376114747,59.13658670722887,Gannet,Northern Gannet,0.5314
2008-11,B,25,NS00,B,10,1,Confirmed,-5.073333817528075,55.300339124855576,Gannet,Northern Gannet,0.5466
2008-11,B,25,HX51,B,10,1,Confirmed,-4.525689819073055,58.99740319034343,Gannet,Northern Gannet,0.3234
2008-11,B,25,NT68,B,10,1,Confirmed,-2.5635763856731524,56.0565375616426,Gannet,Northern Gannet,0.6191
2008-11,B,25,NL57,B,10,1,Confirmed,-7.644811564470715,56.7385090387785,Gannet,Northern Gannet,0.2938
2008-11,B,99,NH25,B,10,1,Confirmed,-4.926230461176478,57.55110521259055,Red Kite,Red Kite,0.0044
2008-11,B,99,NH36,B,10,1,Confirmed,-4.766149589055868,57.644584001366624,Red Kite,Red Kite,0.0131
2008-11,B,99,NH26,B,10,1,Possible,-4.933450541682185,57.6408112619832,Red Kite,Red Kite,0.0131
2008-11,B,99,NH84,B,10,1,Possible,-3.9196085574417223,57.480581487369925,Red Kite,Red Kite,0.2135
2008-11,B,99,NH44,B,10,1,Confirmed,-4.58604809632363,57.4686713877877,Red Kite,Red Kite,0.2696
2008-11,B,99,NX66,B,10,1,Confirmed,-4.110014449264065,54.961269338641145,Red Kite,Red Kite,0.2686
2008-11,B,99,NO69,B,10,1,Confirmed,-2.57846139252244,57.044713535234074,Red Kite,Red Kite,0.092
2008-11,B,99,NH34,B,10,1,Possible,-4.752570422106086,57.465144180945224,Red Kite,Red Kite,0.0228
2008-11,B,99,NH35,B,10,1,Possible,-4.759339934157118,57.5548649890636,Red Kite,Red Kite,0.0228
2008-11,B,99,NJ60,B,10,1,Possible,-2.5798622664703275,57.134539765238124,Red Kite,Red Kite,0.092
2008-11,B,99,NH64,B,10,1,Confirmed,-4.2528935760036255,57.475066372625705,Red Kite,Red Kite,0.2446
2008-11,B,99,NH54,B,10,1,Confirmed,-4.419488348730825,57.47197881824447,Red Kite,Red Kite,0.2696
2008-11,B,99,NH53,B,10,1,Confirmed,-4.413570856854433,57.38223279472047,Red Kite,Red Kite,0.2405
2008-11,B,99,NH62,B,10,1,Possible,-4.241904030915937,57.29555153222165,Red Kite,Red Kite,0.1096
2008-11,B,99,NH76,B,10,1,Confirmed,-4.096565392104917,57.6574620985622,Red Kite,Red Kite,0.1786
2008-11,B,99,NH82,B,10,1,Possible,-3.9102419526165075,57.3010289200247,Red Kite,Red Kite,0.1058
2008-11,B,99,NH43,B,10,1,Possible,-4.579724350124388,57.37893669972242,Red Kite,Red Kite,0.2405
2008-11,B,99,NH45,B,10,1,Confirmed,-4.592409264902978,57.558404341576,Red Kite,Red Kite,0.2696
2008-11,B,99,NH46,B,10,1,Possible,-4.59880816343253,57.6481355592645,Red Kite,Red Kite,0.2316
2008-11,B,99,NH65,B,10,1,Confirmed,-4.25843715456071,57.56482135304607,Red Kite,Red Kite,0.2446
2008-11,B,99,NO57,B,10,1,Confirmed,-2.73968821925826,56.8641932960102,Red Kite,Red Kite,0.1347
2008-11,B,99,NX58,B,10,1,Confirmed,-4.2762353656936725,55.13804015710235,Red Kite,Red Kite,0.1381
2008-11,B,99,NX67,B,10,1,Confirmed,-4.114736040118845,55.051069580951,Red Kite,Red Kite,0.2706
2008-11,B,99,NS78,B,10,1,Possible,-4.008065554007315,56.0414818185046,Red Kite,Red Kite,0.0034
2008-11,B,99,NT44,B,10,1,Possible,-2.876545175891575,55.695301349457296,Red Kite,Red Kite,0.003
2008-11,B,99,NJ80,B,10,1,Confirmed,-2.2494525443619597,57.1356325716375,Red Kite,Red Kite,0.0598
2008-11,B,99,NX65,B,10,1,Confirmed,-4.105319035419843,54.87146748914863,Red Kite,Red Kite,0.2686
2008-11,B,99,NX68,B,10,1,Confirmed,-4.119484007047897,55.14086821553365,Red Kite,Red Kite,0.2578
2008-11,B,99,NH37,B,10,1,Probable,-4.772999717572932,57.73430121549937,Red Kite,Red Kite,0.0131
2008-11,B,99,NH63,B,10,1,Probable,-4.24738262324274,57.385309765384,Red Kite,Red Kite,0.2368
2008-11,B,99,NH77,B,10,1,Confirmed,-4.101760957941562,57.747223799729774,Red Kite,Red Kite,0.199
2008-11,B,99,NN32,B,10,1,Possible,-4.674351840628187,56.388355221860174,Red Kite,Red Kite,0.0017
2008-11,B,99,NS80,B,10,1,Possible,-3.81406485316401,55.325545874632674,Red Kite,Red Kite,0.1707
2008-11,B,99,NS96,B,10,1,Possible,-3.67940200467869,55.8666710543103,Red Kite,Red Kite,0.0024
2008-11,B,99,NO13,B,10,1,Possible,-3.3823533641927352,56.49934406240815,Red Kite,Red Kite,0.0116
2008-11,B,99,NO14,B,10,1,Confirmed,-3.3856310899829825,56.58915655896445,Red Kite,Red Kite,0.0116
2008-11,B,99,NM55,B,10,1,Possible,-5.995500400392498,56.62255242118093,Red Kite,Red Kite,0.0011
2008-11,B,99,NH55,B,10,1,Confirmed,-4.425440866276142,57.561723163052,Red Kite,Red Kite,0.2696
2008-11,B,99,NH56,B,10,1,Confirmed,-4.431428697451852,57.65146582778733,Red Kite,Red Kite,0.2316
2008-11,B,99,NS81,B,10,1,Possible,-3.818179942977345,55.41535665579377,Red Kite,Red Kite,0.018
2008-11,B,99,NH66,B,10,1,Confirmed,-4.26401362722304,57.65457470572585,Red Kite,Red Kite,0.2149
2008-11,B,99,NH73,B,10,1,Possible,-4.08116202968937,57.3881675193133,Red Kite,Red Kite,0.2204
2008-11,B,99,NT56,B,10,1,Possible,-2.7207844944338198,55.8760195969439,Red Kite,Red Kite,0.0147
2008-11,B,99,NT90,B,10,1,Probable,-2.08037537496007,55.338989799615526,Red Kite,Red Kite,0.0083
2008-11,B,99,NU11,B,10,1,Possible,-1.7645351528530975,55.428646109694974,Red Kite,Red Kite,0.0024
2008-11,B,99,NH74,B,10,1,Probable,-4.0862661779792955,57.47793395783305,Red Kite,Red Kite,0.2135
2008-11,B,99,NJ61,B,10,1,Confirmed,-2.5812713686104223,57.224364677546,Red Kite,Red Kite,0.0741
2008-11,B,99,NX56,B,10,1,Possible,-4.266066965318047,54.9584599850691,Red Kite,Red Kite,0.148
2008-11,B,99,NX59,B,10,1,Probable,-4.2813622585426225,55.22782776807295,Red Kite,Red Kite,0.1381
2008-11,B,99,NJ81,B,10,1,Confirmed,-2.2500591226209274,57.22546123068175,Red Kite,Red Kite,0.041
2008-11,B,99,NN02,B,10,1,Confirmed,-5.159536713989388,56.376932417193146,Red Kite,Red Kite,0.0011
2008-11,B,99,NN34,B,10,1,Possible,-4.687012927737353,56.56783782411215,Red Kite,Red Kite,0.0902
2008-11,B,99,NH57,B,10,1,Possible,-4.43745213342489,57.741206811070796,Red Kite,Red Kite,0.2219
2008-11,B,99,NH67,B,10,1,Confirmed,-4.269623265287425,57.74432642972658,Red Kite,Red Kite,0.2219
2008-11,B,99,NO46,B,10,1,Possible,-2.90152172425031,56.77329059496455,Red Kite,Red Kite,0.1347
2008-11,B,99,NO89,B,10,1,Confirmed,-2.2488495082287523,57.04580261297103,Red Kite,Red Kite,0.0598
2008-11,B,99,NT92,B,10,1,Possible,-2.08074243611611,55.51869981798775,Red Kite,Red Kite,0.0083
2008-11,B,99,NX75,B,10,1,Confirmed,-3.9495870629517054,54.87406802796822,Red Kite,Red Kite,0.2686
2008-11,B,99,NX76,B,10,1,Confirmed,-3.9539357565471027,54.963878506800995,Red Kite,Red Kite,0.2686
2008-11,B,99,NX87,B,10,1,Confirmed,-3.801856923852425,55.05610433258185,Red Kite,Red Kite,0.18
2008-11,B,99,NS69,B,10,1,Possible,-4.17351151308575,56.12854692082428,Red Kite,Red Kite,0.0159
2008-11,B,99,NS90,B,10,1,Possible,-3.6565318373539224,55.32778401882645,Red Kite,Red Kite,0.1707
2008-11,B,99,NH75,B,10,1,Confirmed,-4.091400549245885,57.56769881775387,Red Kite,Red Kite,0.1786
2008-11,B,99,NK04,B,10,1,Possible,-1.91823744526775,57.49516506172198,Red Kite,Red Kite,0.0021
2008-11,B,99,NJ71,B,10,1,Confirmed,-2.4156682122440576,57.22502210226688,Red Kite,Red Kite,0.041
2008-11,B,99,NN50,B,10,1,Confirmed,-4.339705347381837,56.215382302112324,Red Kite,Red Kite,0.0159
2008-11,B,99,NO49,B,10,1,Confirmed,-2.90804063041183,57.04275730864752,Red Kite,Red Kite,0.1317
2008-11,B,99,NO36,B,10,1,Possible,-3.065111226654065,56.77200062504312,Red Kite,Red Kite,0.1286
2008-11,B,99,NO67,B,10,1,Confirmed,-2.5756840647962926,56.865057115389426,Red Kite,Red Kite,0.0853
2008-11,B,99,NO88,B,10,1,Confirmed,-2.2482499856849474,56.955971352843406,Red Kite,Red Kite,0.0557
2008-11,B,99,NR86,B,10,1,Probable,-5.434485714138873,55.83017538021407,Red Kite,Red Kite,0.0011
2008-11,B,99,NX55,B,10,1,Confirmed,-4.261025028250398,54.868667425757074,Red Kite,Red Kite,0.148
2008-11,B,99,NX77,B,10,1,Confirmed,-3.9583086979379174,55.053687416909696,Red Kite,Red Kite,0.2706
2008-11,B,99,NX78,B,10,1,Possible,-3.9627060715602576,55.1434947580516,Red Kite,Red Kite,0.2578
2008-11,B,99,NX86,B,10,1,Possible,-3.7978328163576602,54.966287418941576,Red Kite,Red Kite,0.1724
2008-11,B,99,NX88,B,10,1,Confirmed,-3.805903517826675,55.1459197130554,Red Kite,Red Kite,0.1861
2008-11,B,99,NX89,B,10,1,Confirmed,-3.8099727698228025,55.23573356039557,Red Kite,Red Kite,0.1861
2008-11,B,99,NJ62,B,10,1,Possible,-2.582688765954145,57.31418827385792,Red Kite,Red Kite,0.0095
2008-11,B,99,NN93,B,10,1,Confirmed,-3.7070881992541125,56.4953044527003,Red Kite,Red Kite,0.045
2008-11,B,99,NO08,B,10,1,Possible,-3.5632567500284953,56.946445738838925,Red Kite,Red Kite,0.0428
2008-11,B,99,NO15,B,10,1,Possible,-3.3889278058448298,56.67896762498742,Red Kite,Red Kite,0.0561
2008-11,B,99,NO79,B,10,1,Confirmed,-2.4136583693315803,57.04536647818007,Red Kite,Red Kite,0.0598
2008-11,B,99,NS68,B,10,1,Possible,-4.1684596623844,56.03876600990658,Red Kite,Red Kite,0.0034
2008-11,B,99,NS79,B,10,1,Confirmed,-4.0127444191444575,56.131271883180126,Red Kite,Red Kite,0.0434
2008-11,B,99,NX29,B,10,1,Possible,-4.75249299771702,55.21810303668543,Red Kite,Red Kite,0.0015
2008-11,B,99,NY84,B,10,1,Possible,-2.234846448082605,54.79962610677397,Red Kite,Red Kite,0.0029
2008-11,B,99,NZ25,B,10,1,Confirmed,-1.611795437318475,54.88909827828202,Red Kite,Red Kite,0.0029
2008-11,B,99,NJ70,B,10,1,Confirmed,-2.4146603480778275,57.13519494365372,Red Kite,Red Kite,0.0598
2008-11,B,99,NN96,B,10,1,Possible,-3.7192989211443823,56.764696323578626,Red Kite,Red Kite,0.0295
2008-11,B,99,NO01,B,10,1,Probable,-3.5374696506391525,56.31781395466925,Red Kite,Red Kite,0.0154
2008-11,B,99,NO25,B,10,1,Possible,-3.2257593164888,56.680680698618225,Red Kite,Red Kite,0.0561
2008-11,B,99,NO26,B,10,1,Possible,-3.2286859613258723,56.77049616581002,Red Kite,Red Kite,0.0616
2008-11,B,99,NS76,B,10,1,Possible,-3.9987873948484,55.861896973263576,Red Kite,Red Kite,0.0037
2008-11,B,99,NY57,B,10,1,Possible,-2.7061740553805524,55.067392145281346,Red Kite,Red Kite,0.0029
2008-11,B,99,NZ16,B,10,1,Confirmed,-1.7671686317059625,54.97935770507785,Red Kite,Red Kite,0.0029
2008-11,B,99,NN61,B,10,1,Confirmed,-4.183702242834425,56.3081038968744,Red Kite,Red Kite,0.0856
2008-11,B,99,NN74,B,10,1,Possible,-4.036545030576077,56.580198613677624,Red Kite,Red Kite,0.1358
2008-11,B,99,NN82,B,10,1,Confirmed,-3.8650163221862748,56.4031740693094,Red Kite,Red Kite,0.0542
2008-11,B,99,NO03,B,10,1,Confirmed,-3.5447313054865974,56.497430342586476,Red Kite,Red Kite,0.0328
2008-11,B,99,NO04,B,10,1,Confirmed,-3.5483936216028997,56.5872363434504,Red Kite,Red Kite,0.0328
2008-11,B,99,NS59,B,10,1,Confirmed,-4.334249674001752,56.12561290669055,Red Kite,Red Kite,0.0159
2008-11,B,99,NS77,B,10,1,Possible,-4.0034132815282,55.951690181759076,Red Kite,Red Kite,0.0034
2008-11,B,99,NX98,B,10,1,Probable,-3.6490783063768877,55.148143014420924,Red Kite,Red Kite,0.1861
2008-11,B,99,NY65,B,10,1,Possible,-2.547146700461045,54.8884844747531,Red Kite,Red Kite,0.0029
2008-11,B,99,NZ06,B,10,1,Probable,-1.92341057970445,54.979556082186924,Red Kite,Red Kite,0.0029
2008-11,B,99,NZ05,B,10,1,Confirmed,-1.9235805640964525,54.88969373004315,Red Kite,Red Kite,0.0029
2008-11,B,99,NN52,B,10,1,Confirmed,-4.350710864019837,56.39491610596433,Red Kite,Red Kite,0.0902
2008-11,B,99,NN60,B,10,1,Confirmed,-4.17859229722197,56.21832621670792,Red Kite,Red Kite,0.0856
2008-11,B,99,NN62,B,10,1,Confirmed,-4.188841580404355,56.39787996062755,Red Kite,Red Kite,0.0902
2008-11,B,99,NN71,B,10,1,Confirmed,-4.022182765869068,56.3108472949971,Red Kite,Red Kite,0.1901
2008-11,B,99,NN75,B,10,1,Possible,-4.041387921103407,56.66997923870135,Red Kite,Red Kite,0.1358
2008-11,B,99,NN79,B,10,1,Possible,-4.061042788805747,57.029085989026726,Red Kite,Red Kite,0.1321
2008-11,B,99,NN92,B,10,1,Confirmed,-3.70306471484351,56.405504171112796,Red Kite,Red Kite,0.0542
2008-11,B,99,NN84,B,10,1,Possible,-3.87385281472012,56.58275730587218,Red Kite,Red Kite,0.045
2008-11,B,99,NN83,B,10,1,Confirmed,-3.869421839235155,56.49296645415605,Red Kite,Red Kite,0.045
2008-11,B,99,NY85,B,10,1,Possible,-2.2353694578313275,54.889489121499274,Red Kite,Red Kite,0.0029
2008-11,B,99,NZ08,B,10,1,Possible,-1.923067756953805,55.15927677614903,Red Kite,Red Kite,0.0029
2008-11,B,99,NZ15,B,10,1,Confirmed,-1.767686566198565,54.88949600970513,Red Kite,Red Kite,0.0029
2008-11,B,99,NN51,B,10,1,Confirmed,-4.345192328262617,56.30515003556077,Red Kite,Red Kite,0.0856
2008-11,B,99,NN70,B,10,1,Confirmed,-4.01745008600077,56.2210603754569,Red Kite,Red Kite,0.1901
2008-11,B,99,NN80,B,10,1,Confirmed,-3.85628086215295,56.223584700368,Red Kite,Red Kite,0.0578
2008-11,B,99,NO02,B,10,1,Confirmed,-3.5410900372044076,56.4076228798393,Red Kite,Red Kite,0.0182
2008-11,B,99,NS49,B,10,1,Confirmed,-4.49495677261355,56.12246992412077,Red Kite,Red Kite,0.0091
2008-11,B,99,NY75,B,10,1,Confirmed,-2.39126049907805,54.889086798143204,Red Kite,Red Kite,0.0029
2008-11,B,99,NN73,B,10,1,Confirmed,-4.031730021149888,56.4904164144693,Red Kite,Red Kite,0.1358
2008-11,B,99,NZ04,B,10,1,Possible,-1.9237496067291526,54.79983003903627,Red Kite,Red Kite,0.0029
2008-11,B,99,NN72,B,10,1,Confirmed,-4.02694267230353,56.40063264145353,Red Kite,Red Kite,0.1847
2008-11,B,99,NN81,B,10,1,Confirmed,-3.8606360627279175,56.31338015136973,Red Kite,Red Kite,0.0578
2008-11,B,99,NY81,B,10,1,Possible,-2.233294678223935,54.53002899615998,Red Kite,Red Kite,0.0047
2008-11,B,99,NZ02,B,10,1,Confirmed,-1.9240848949670175,54.6200986342475,Red Kite,Red Kite,0.0029
2008-11,B,99,NY97,B,10,1,Possible,-2.0798324425619725,55.06941478589348,Red Kite,Red Kite,0.0029
2008-11,B,99,NY86,B,10,1,Possible,-2.2358953804606223,54.979350794351426,Red Kite,Red Kite,0.0029
2008-11,B,99,NY92,B,10,1,Probable,-2.0789474691917773,54.62009636047932,Red Kite,Red Kite,0.0029
2008-11,B,99,NY96,B,10,1,Possible,-2.0796534766139327,54.979553778590876,Red Kite,Red Kite,0.0029
2008-11,B,99,NY95,B,10,1,Confirmed,-2.0794755037518273,54.8896914339541,Red Kite,Red Kite,0.0029
2008-11,B,99,NY94,B,10,1,Possible,-2.079298516488585,54.799827750420704,Red Kite,Red Kite,0.0029
