species,n_test_checklists,n_test_positives,baseline_auc,rf_auc,baseline_brier,rf_brier,note
Osprey,77186,1370,0.7754,0.9095,0.0175,0.0167,
Common Cuckoo,77186,1700,0.8299,0.9405,0.0231,0.0184,
Barn Swallow,77186,11237,0.7457,0.8114,0.1267,0.1046,
Arctic Tern,77186,1561,0.8431,0.9189,0.0188,0.0174,
Atlantic Puffin,77186,1263,0.8306,0.9156,0.0236,0.0149,
Crested Tit,77186,1718,0.8692,0.9765,0.0207,0.0187,
Rock Ptarmigan,77186,63,0.4984,0.9839,0.001,0.0006,
Red Kite,77186,775,0.7555,0.9476,0.0137,0.0088,
White-tailed Eagle,77186,250,0.8019,0.9582,0.0034,0.0032,
Red Grouse,77186,429,0.6055,0.906,0.0343,0.007,
Willow Warbler,77186,8337,0.7798,0.875,0.088,0.0753,
Black Guillemot,77186,3498,0.6314,0.8199,0.0453,0.0417,
Eurasian Curlew,77186,15365,0.6387,0.8034,0.1678,0.1306,
White-throated Dipper,77186,1840,0.6274,0.7686,0.0244,0.0238,
Common Kingfisher,77186,1201,0.7045,0.8086,0.0153,0.015,
Long-tailed Tit,77186,7481,0.6964,0.8182,0.085,0.0753,
European Golden-Plover,77186,1572,0.6652,0.8256,0.0203,0.0188,
Short-eared Owl,77186,161,0.5325,0.7645,0.0023,0.0021,
Common Wood-Pigeon,77186,33030,0.6889,0.8041,0.2224,0.1798,
Manx Shearwater,77186,1635,0.6713,0.8502,0.021,0.02,
Snow Bunting,77186,177,0.5747,0.8538,0.0024,0.0022,
Northern Gannet,77186,9009,0.8052,0.8609,0.1,0.0883,
