species,n_test_checklists,n_test_positives,baseline_auc,rf_auc,baseline_brier,rf_brier,note
Osprey,77186,1370,0.7754,0.8908,0.0175,0.0166,
Common Cuckoo,77186,1700,0.8299,0.9272,0.0231,0.0187,
Barn Swallow,77186,11237,0.7457,0.8013,0.1267,0.1067,
Arctic Tern,77186,1561,0.8431,0.8986,0.0188,0.0173,
Atlantic Puffin,77186,1263,0.8306,0.8993,0.0236,0.0151,
Crested Tit,77186,1718,0.8692,0.9735,0.0207,0.0176,
Rock Ptarmigan,77186,63,0.4984,0.9834,0.001,0.0008,
Red Kite,77186,775,0.7555,0.9374,0.0137,0.009,
White-tailed Eagle,77186,250,0.8019,0.9566,0.0034,0.0031,
Red Grouse,77186,429,0.6055,0.8423,0.0343,0.011,
Willow Warbler,77186,8337,0.7798,0.8585,0.088,0.0792,
Black Guillemot,77186,3498,0.6314,0.7716,0.0453,0.0418,
Eurasian Curlew,77186,15365,0.6387,0.764,0.1678,0.1397,
White-throated Dipper,77186,1840,0.6274,0.7638,0.0244,0.0235,
Common Kingfisher,77186,1201,0.7045,0.796,0.0153,0.015,
Long-tailed Tit,77186,7481,0.6964,0.8119,0.085,0.0756,
European Golden-Plover,77186,1572,0.6652,0.7786,0.0203,0.019,
Short-eared Owl,77186,161,0.5325,0.7166,0.0023,0.0021,
Common Wood-Pigeon,77186,33030,0.6889,0.7967,0.2224,0.1819,
Manx Shearwater,77186,1635,0.6713,0.777,0.021,0.0194,
Snow Bunting,77186,177,0.5747,0.812,0.0024,0.0023,
Northern Gannet,77186,9009,0.8052,0.8526,0.1,0.09,
