species,baseline_auc,rf_auc,auc_gain,baseline_brier,rf_brier,brier_improvement
Arctic Tern,0.8431,0.8986,0.0555,0.0188,0.0173,0.0015
Atlantic Puffin,0.8306,0.8993,0.0687,0.0236,0.0151,0.0085
Barn Swallow,0.7457,0.8013,0.0556,0.1267,0.1067,0.02
Common Cuckoo,0.8299,0.9272,0.0973,0.0231,0.0187,0.0044
Crested Tit,0.8692,0.9735,0.1043,0.0207,0.0176,0.0031
Osprey,0.7754,0.8908,0.1154,0.0175,0.0166,0.0009
Red Grouse,0.6055,0.8423,0.2368,0.0343,0.011,0.0233
Red Kite,0.7555,0.9374,0.1819,0.0137,0.009,0.0047
Rock Ptarmigan,0.4984,0.9834,0.485,0.001,0.0008,0.0002
White-tailed Eagle,0.8019,0.9566,0.1547,0.0034,0.0031,0.0003
